kyc_verified,account_age_days,transaction_amount,channel,is_fraud,transaction_type,location,currency,avg_transaction_amount,failed_login_attempts,multi_device_login,velocity_check,hour,weekday,is_high_value,day,day_of_week,month,log_amount,cust_txn_count,cust_avg_amount,cust_max_amount,cust_min_amount
Yes,1050,256369.0,0,0,0,0,0,122458,5,0,19,2,1,1,12,1,8,12.454376992502883,12,147962.25,494908.0,4372.0
Yes,295,6581.0,0,0,0,0,0,147367,2,1,5,1,0,0,25,0,8,8.792093929503284,13,222936.76923076922,492920.0,6581.0
Yes,2083,4492.0,0,0,0,0,0,132432,1,0,11,12,6,0,17,6,8,8.41027590907016,23,175008.30434782608,422526.0,4492.0
Yes,2789,275413.0,1,0,0,0,0,104194,0,0,4,6,3,1,7,3,8,12.526030699133504,20,167834.6,486408.0,2283.0
Yes,694,98098.0,1,0,0,0,0,120379,4,0,4,21,2,1,20,2,8,11.49373245182158,26,179229.34615384616,494538.0,8019.0
Yes,1624,14744.0,0,0,0,0,0,110768,4,0,15,12,6,0,17,6,8,9.598659321249377,20,143594.05,425128.0,3488.0
Yes,2506,5896.0,2,0,0,0,0,55386,1,1,8,1,5,0,23,5,8,8.682199026000504,16,183854.3125,492130.0,4111.0
No,2001,5276.0,3,0,0,0,0,137837,1,0,13,7,5,0,2,5,8,8.571113033405668,19,91746.05263157895,399440.0,5276.0
Yes,2276,16030.0,3,0,0,0,0,168766,1,0,12,3,6,0,10,6,8,9.682279626689674,15,184575.4,459512.0,4992.0
Yes,1980,5294.0,3,0,0,0,0,87998,3,0,2,0,6,0,24,6,8,8.574518258035507,18,161812.16666666666,478760.0,4578.0
Yes,1398,69506.0,0,0,0,0,0,113227,1,1,1,3,5,1,23,5,8,11.149182745905483,15,118859.33333333333,493614.0,3893.0
Yes,2990,20428.0,3,0,0,0,0,126824,4,0,14,7,3,0,14,3,8,9.924710738987654,22,168604.4090909091,488761.0,4855.0
Yes,1957,125754.0,3,0,0,0,0,175703,1,0,8,23,4,1,22,4,8,11.742090848602933,12,183365.83333333334,444039.0,15625.0
No,688,6451.0,3,1,0,0,0,191835,5,0,16,6,1,0,12,1,8,8.772145439245099,13,100136.61538461539,487187.0,2719.0
No,1384,11780.0,0,0,0,0,0,16523,2,0,5,11,1,0,12,1,8,9.37424334324612,14,133664.07142857142,494567.0,4162.0
No,534,214584.0,3,1,0,0,0,41590,4,0,2,21,2,1,6,2,8,12.276461209252101,19,199205.36842105264,476104.0,2462.0
Yes,2515,44628.0,3,0,0,0,0,67721,2,0,15,4,1,0,5,1,8,10.70613915091923,13,155252.07692307694,460966.0,529.0
Yes,2642,7166.0,0,0,0,0,0,65320,4,0,4,6,2,0,20,2,8,8.877242435993919,17,140914.4705882353,441956.0,2913.0
Yes,2086,6814.0,0,0,0,0,0,1269,0,0,4,8,5,0,9,5,8,8.826881344130634,15,92484.8,384033.0,3863.0
Yes,462,14017.0,3,0,0,0,0,60235,5,0,10,19,2,0,20,2,8,9.54809749706027,17,138840.5294117647,447473.0,3744.0
Yes,259,10479.0,0,0,0,0,0,194527,4,0,18,0,0,0,4,0,8,9.257223957875032,16,130121.3125,449250.0,2398.0
Yes,1002,141766.0,0,1,0,0,0,65425,5,0,7,12,0,1,4,0,8,11.8619401438523,12,106749.41666666667,443705.0,3254.0
Yes,2184,176991.0,3,1,0,0,0,199541,4,0,5,15,0,1,18,0,8,12.083859812794405,14,157939.64285714287,478700.0,2826.0
Yes,1014,3768.0,2,0,0,0,0,5811,2,0,4,5,1,0,19,1,8,8.234564993267135,17,103573.4705882353,475679.0,2390.0
Yes,2083,4904.0,2,0,0,0,0,103855,2,0,15,23,6,0,3,6,8,8.498010371999463,18,136630.38888888888,493854.0,1889.0
Yes,389,12674.0,3,0,0,0,0,185279,4,0,18,12,5,0,16,5,8,9.447386828459384,15,136229.66666666666,465824.0,4028.0
No,923,134076.0,1,1,0,0,0,85805,4,0,17,0,0,1,18,0,8,11.806169540763921,12,84178.83333333333,400194.0,5869.0
Yes,2668,7307.0,3,0,0,0,0,160265,3,0,6,17,5,0,2,5,8,8.896724917497897,20,110166.0,495939.0,2451.0
No,1135,5936.0,2,0,0,0,0,131108,5,0,1,15,6,0,17,6,8,8.688959234270676,17,170221.82352941178,498588.0,5824.0
Yes,1174,9784.0,0,0,0,0,0,157230,5,0,3,18,6,0,17,6,8,9.188605879830176,12,83951.08333333333,282846.0,2967.0
