transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud,transaction_type,location,currency,avg_transaction_amount,failed_login_attempts,multi_device_login,velocity_check
TXN_200000,CUST_799,Yes,1050,256369,Mobile,2025-08-12 02:10:24,0,Transfer,Urban,USD,122458,5,0,19
TXN_200001,CUST_484,Yes,295,6581,Mobile,2025-08-25 01:14:31,0,Transfer,Urban,USD,147367,2,1,5
TXN_200002,CUST_791,Yes,2083,4492,Mobile,2025-08-17 12:12:40,0,Transfer,Urban,USD,132432,1,0,11
TXN_200003,CUST_664,Yes,2789,275413,POS,2025-08-07 06:23:54,0,Transfer,Urban,USD,104194,0,0,4
TXN_200004,CUST_157,Yes,694,98098,POS,2025-08-20 21:55:54,0,Transfer,Urban,USD,120379,4,0,4
TXN_200005,CUST_654,Yes,1624,14744,Mobile,2025-08-17 12:32:58,0,Transfer,Urban,USD,110768,4,0,15
TXN_200006,CUST_288,Yes,2506,5896,ATM,2025-08-23 01:48:53,0,Transfer,Urban,USD,55386,1,1,8
TXN_200007,CUST_135,No,2001,5276,Web,2025-08-02 07:31:35,0,Transfer,Urban,USD,137837,1,0,13
TXN_200008,CUST_738,Yes,2276,16030,Web,2025-08-10 03:59:35,0,Transfer,Urban,USD,168766,1,0,12
TXN_200009,CUST_639,Yes,1980,5294,Web,2025-08-24 00:20:12,0,Transfer,Urban,USD,87998,3,0,2
TXN_200010,CUST_526,Yes,1398,69506,Mobile,2025-08-23 03:36:52,0,Transfer,Urban,USD,113227,1,1,1
TXN_200011,CUST_234,Yes,2990,20428,Web,2025-08-14 07:00:26,0,Transfer,Urban,USD,126824,4,0,14
TXN_200012,CUST_625,Yes,1957,125754,Web,2025-08-22 23:22:59,0,Transfer,Urban,USD,175703,1,0,8
TXN_200013,CUST_137,No,688,6451,Web,2025-08-12 06:32:45,1,Transfer,Urban,USD,191835,5,0,16
TXN_200014,CUST_584,No,1384,11780,Mobile,2025-08-12 11:08:57,0,Transfer,Urban,USD,16523,2,0,5
TXN_200015,CUST_408,No,534,214584,Web,2025-08-06 21:54:51,1,Transfer,Urban,USD,41590,4,0,2
TXN_200016,CUST_777,Yes,2515,44628,Web,2025-08-05 04:51:42,0,Transfer,Urban,USD,67721,2,0,15
TXN_200017,CUST_381,Yes,2642,7166,Mobile,2025-08-20 06:50:29,0,Transfer,Urban,USD,65320,4,0,4
TXN_200018,CUST_127,Yes,2086,6814,Mobile,2025-08-09 08:05:24,0,Transfer,Urban,USD,1269,0,0,4
TXN_200019,CUST_451,Yes,462,14017,Web,2025-08-20 19:00:24,0,Transfer,Urban,USD,60235,5,0,10
TXN_200020,CUST_612,Yes,259,10479,Mobile,2025-08-04 00:43:17,0,Transfer,Urban,USD,194527,4,0,18
TXN_200021,CUST_435,Yes,1002,141766,Mobile,2025-08-04 12:37:16,1,Transfer,Urban,USD,65425,5,0,7
TXN_200022,CUST_630,Yes,2184,176991,Web,2025-08-18 15:40:14,1,Transfer,Urban,USD,199541,4,0,5
TXN_200023,CUST_194,Yes,1014,3768,ATM,2025-08-19 05:43:22,0,Transfer,Urban,USD,5811,2,0,4
TXN_200024,CUST_682,Yes,2083,4904,ATM,2025-08-03 23:34:35,0,Transfer,Urban,USD,103855,2,0,15
TXN_200025,CUST_641,Yes,389,12674,Web,2025-08-16 12:58:49,0,Transfer,Urban,USD,185279,4,0,18
TXN_200026,CUST_507,No,923,134076,POS,2025-08-18 00:07:21,1,Transfer,Urban,USD,85805,4,0,17
TXN_200027,CUST_212,Yes,2668,7307,Web,2025-08-02 17:09:39,0,Transfer,Urban,USD,160265,3,0,6
TXN_200028,CUST_424,No,1135,5936,ATM,2025-08-17 15:07:56,0,Transfer,Urban,USD,131108,5,0,1
TXN_200029,CUST_106,Yes,1174,9784,Mobile,2025-08-17 18:54:19,0,Transfer,Urban,USD,157230,5,0,3
TXN_200030,CUST_309,Yes,2229,5062,ATM,2025-08-11 10:07:23,0,Transfer,Urban,USD,84978,5,0,9
TXN_200031,CUST_242,Yes,2920,4677,Mobile,2025-08-22 12:04:51,0,Transfer,Urban,USD,123037,5,0,5
TXN_200032,CUST_787,Yes,1669,5160,POS,2025-08-11 10:20:41,0,Transfer,Urban,USD,150003,0,0,6
TXN_200033,CUST_514,Yes,880,4523,Mobile,2025-08-06 21:43:40,0,Transfer,Urban,USD,131023,0,0,13
TXN_200034,CUST_217,No,1243,5316,ATM,2025-08-02 22:11:31,0,Transfer,Urban,USD,3247,1,0,3
TXN_200035,CUST_689,Yes,492,6438,ATM,2025-08-16 11:34:01,0,Transfer,Urban,USD,124355,4,0,3
TXN_200036,CUST_122,Yes,1669,12439,ATM,2025-08-03 02:09:23,0,Transfer,Urban,USD,190722,4,0,5
TXN_200037,CUST_397,No,500,42096,Mobile,2025-08-03 20:20:13,0,Transfer,Urban,USD,66225,4,0,12
TXN_200038,CUST_610,Yes,648,5347,Mobile,2025-08-04 19:57:44,0,Transfer,Urban,USD,130481,4,1,18
TXN_200039,CUST_171,No,2880,190257,ATM,2025-08-01 06:53:21,0,Transfer,Urban,USD,85154,5,0,7
TXN_200040,CUST_521,Yes,1846,6066,ATM,2025-08-18 16:29:31,0,Transfer,Urban,USD,167345,5,1,12
TXN_200041,CUST_303,Yes,2687,180326,Mobile,2025-08-22 19:35:32,0,Transfer,Urban,USD,119846,0,0,2
TXN_200042,CUST_324,Yes,711,4916,Mobile,2025-08-14 18:02:50,0,Transfer,Urban,USD,67935,2,0,16
TXN_200043,CUST_115,Yes,1171,7296,Mobile,2025-08-13 17:49:47,0,Transfer,Urban,USD,57386,3,0,2
TXN_200044,CUST_662,Yes,1094,290970,Mobile,2025-08-04 19:29:58,0,Transfer,Urban,USD,67303,5,0,8
TXN_200045,CUST_111,No,2600,6807,ATM,2025-08-03 06:03:48,0,Transfer,Urban,USD,32051,5,0,1
TXN_200046,CUST_365,Yes,459,162442,Mobile,2025-08-09 06:00:46,1,Transfer,Urban,USD,116716,5,0,14
TXN_200047,CUST_313,Yes,749,3325,Web,2025-08-03 15:37:50,1,Transfer,Urban,USD,11894,2,0,10
TXN_200048,CUST_166,Yes,2850,5498,Mobile,2025-08-04 13:51:34,0,Transfer,Urban,USD,69592,2,0,13
TXN_200049,CUST_693,Yes,486,7056,Web,2025-08-25 17:38:44,0,Transfer,Urban,USD,4390,0,0,10
TXN_200050,CUST_377,No,624,12421,Web,2025-08-13 19:29:20,0,Transfer,Urban,USD,42106,5,0,13
TXN_200051,CUST_114,Yes,2773,136331,Web,2025-08-19 01:58:11,0,Transfer,Urban,USD,87813,3,0,13
