transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud,transaction_type,location,currency,avg_transaction_amount,failed_login_attempts,multi_device_login,velocity_check,hour,weekday,is_high_value
TXN_200000,CUST_799,Yes,1050,256369.0,0,2025-08-12 02:10:24,0,0,0,0,122458,5,0,19,2,1,1
TXN_200001,CUST_484,Yes,295,6581.0,0,2025-08-25 01:14:31,0,0,0,0,147367,2,1,5,1,0,0
TXN_200002,CUST_791,Yes,2083,4492.0,0,2025-08-17 12:12:40,0,0,0,0,132432,1,0,11,12,6,0
TXN_200003,CUST_664,Yes,2789,275413.0,1,2025-08-07 06:23:54,0,0,0,0,104194,0,0,4,6,3,1
TXN_200004,CUST_157,Yes,694,98098.0,1,2025-08-20 21:55:54,0,0,0,0,120379,4,0,4,21,2,1
TXN_200005,CUST_654,Yes,1624,14744.0,0,2025-08-17 12:32:58,0,0,0,0,110768,4,0,15,12,6,0
TXN_200006,CUST_288,Yes,2506,5896.0,2,2025-08-23 01:48:53,0,0,0,0,55386,1,1,8,1,5,0
TXN_200007,CUST_135,No,2001,5276.0,3,2025-08-02 07:31:35,0,0,0,0,137837,1,0,13,7,5,0
TXN_200008,CUST_738,Yes,2276,16030.0,3,2025-08-10 03:59:35,0,0,0,0,168766,1,0,12,3,6,0
TXN_200009,CUST_639,Yes,1980,5294.0,3,2025-08-24 00:20:12,0,0,0,0,87998,3,0,2,0,6,0
TXN_200010,CUST_526,Yes,1398,69506.0,0,2025-08-23 03:36:52,0,0,0,0,113227,1,1,1,3,5,1
TXN_200011,CUST_234,Yes,2990,20428.0,3,2025-08-14 07:00:26,0,0,0,0,126824,4,0,14,7,3,0
TXN_200012,CUST_625,Yes,1957,125754.0,3,2025-08-22 23:22:59,0,0,0,0,175703,1,0,8,23,4,1
TXN_200013,CUST_137,No,688,6451.0,3,2025-08-12 06:32:45,1,0,0,0,191835,5,0,16,6,1,0
TXN_200014,CUST_584,No,1384,11780.0,0,2025-08-12 11:08:57,0,0,0,0,16523,2,0,5,11,1,0
TXN_200015,CUST_408,No,534,214584.0,3,2025-08-06 21:54:51,1,0,0,0,41590,4,0,2,21,2,1
TXN_200016,CUST_777,Yes,2515,44628.0,3,2025-08-05 04:51:42,0,0,0,0,67721,2,0,15,4,1,0
